negozio,data,vendite
MAD,11/02/2025,950.41
MILOLD,11/02/2025,1045.49
NBS,11/02/2025,3742.08
NYC,11/02/2025,8829.5
PAR,11/02/2025,1041.67
ROM,11/02/2025,3110.03
SRV,11/02/2025,553.28
BHR,12/02/2025,795
BIR,12/02/2025,3618.33
ECI,12/02/2025,1049.59
FLO,12/02/2025,1610.65
GLA,12/02/2025,1041.67
LBM,12/02/2025,1204.17
MILOLD,12/02/2025,2747.54
NBS,12/02/2025,3741.66
NYC,12/02/2025,4186.25
PAR,12/02/2025,5528.75
ROM,12/02/2025,1573.77
BHR,13/02/2025,4480
BIR,13/02/2025,492.5
ECI,13/02/2025,-119.84
GLA,13/02/2025,3100
LBM,13/02/2025,2283.33
LRM,13/02/2025,942.62
MILOLD,13/02/2025,3180.33
NBS,13/02/2025,8912.47
NYC,13/02/2025,-510
PAR,13/02/2025,2995.83
ROM,13/02/2025,1918.02
SRV,13/02/2025,909.83
BHR,14/02/2025,8510.5
BIR,14/02/2025,2916.67
ECI,14/02/2025,1917.35
FLO,14/02/2025,758.2
GLA,14/02/2025,4433.33
LBM,14/02/2025,2833.75
LRM,14/02/2025,545.08
MAD,14/02/2025,1690.07
MILOLD,14/02/2025,2713.1
NBS,14/02/2025,2616.66
NYC,14/02/2025,665
PAR,14/02/2025,3758.32
ROM,14/02/2025,5508.19
SRV,14/02/2025,1290.98
BHR,15/02/2025,14665
BIR,15/02/2025,1237.5
ECI,15/02/2025,3694.21
FLO,15/02/2025,1985.66
GLA,15/02/2025,3324.99
LBM,15/02/2025,1500
LRM,15/02/2025,553.28
MAD,15/02/2025,1231.4
MILOLD,15/02/2025,4868.86
NBS,15/02/2025,4554.58
NYC,15/02/2025,1980
PAR,15/02/2025,3450
ROM,15/02/2025,2401.64
SRV,15/02/2025,1821.31
BHR,16/02/2025,5585
BIR,16/02/2025,2743.75
ECI,16/02/2025,1665.29
FLO,16/02/2025,540.98
GLA,16/02/2025,662.5
LBM,16/02/2025,5437.07
LRM,16/02/2025,553.28
MILOLD,16/02/2025,1348.36
NBS,16/02/2025,2474.99
PAR,16/02/2025,5795.82
ROM,16/02/2025,3717.21
SRV,16/02/2025,1934.43
BHR,17/02/2025,10910
BIR,17/02/2025,1764.16
FLO,17/02/2025,2299.58
GLA,17/02/2025,1787.5
LBM,17/02/2025,1037.5
LRM,17/02/2025,1368.85
MILOLD,17/02/2025,897.54
NBS,17/02/2025,2470.42
NYC,17/02/2025,4220
PAR,17/02/2025,3105.01
ROM,17/02/2025,553.28
SRV,17/02/2025,1940.97
BHR,18/02/2025,10200
BIR,18/02/2025,4956.66
ECI,18/02/2025,3589.26
FLO,18/02/2025,2483.6
GLA,18/02/2025,1475
LBM,18/02/2025,2283.33
MAD,18/02/2025,904.96
MILOLD,18/02/2025,995.9
NBS,18/02/2025,-100
NYC,18/02/2025,2825
PAR,18/02/2025,3499.59
ROM,18/02/2025,1184.43
SRV,18/02/2025,320.9
BHR,19/02/2025,12280
BIR,19/02/2025,1166.67
ECI,19/02/2025,2363.64
FLO,19/02/2025,2587.28
GLA,19/02/2025,2283.33
LBM,19/02/2025,2658.34
LRM,19/02/2025,1385.24
MILOLD,19/02/2025,2340.16
NBS,19/02/2025,1838.34
NYC,19/02/2025,3742.5
PAR,19/02/2025,5174.78
SRV,19/02/2025,758.19
BHR,20/02/2025,5140
BIR,20/02/2025,2022.08
ECI,20/02/2025,1322.31
GLA,20/02/2025,1954.16
LBM,20/02/2025,2427.08
LRM,20/02/2025,1057.37
MAD,20/02/2025,2268.59
MILOLD,20/02/2025,2038.94
NBS,20/02/2025,2541.66
NYC,20/02/2025,6001
PAR,20/02/2025,9879.17
ROM,20/02/2025,1385.25
SRV,20/02/2025,5197.51
BHR,21/02/2025,8248.25
BIR,21/02/2025,2309.16
ECI,21/02/2025,2760.32
FLO,21/02/2025,487.7
GLA,21/02/2025,1537.5
LBM,21/02/2025,4342.08
LRM,21/02/2025,1721.31
MAD,21/02/2025,3595.04
MILOLD,21/02/2025,1545.08
NBS,21/02/2025,970.83
NYC,21/02/2025,8945
PAR,21/02/2025,1620.83
ROM,21/02/2025,1659.84
SRV,21/02/2025,3741.78
BHR,22/02/2025,4530
BIR,22/02/2025,1720.83
ECI,22/02/2025,2950.42
FLO,22/02/2025,455.74
GLA,22/02/2025,3970.83
LBM,22/02/2025,1620.83
LRM,22/02/2025,1872.95
MAD,22/02/2025,904.96
MILOLD,22/02/2025,3573.76
NBS,22/02/2025,6637.5
NYC,22/02/2025,4510
PAR,22/02/2025,5024.99
ROM,22/02/2025,2454.92
SRV,22/02/2025,4749.97
BHR,23/02/2025,6020
BIR,23/02/2025,1845.83
ECI,23/02/2025,739.67
FLO,23/02/2025,3926.22
GLA,23/02/2025,687.5
LBM,23/02/2025,6170.84
LRM,23/02/2025,1024.59
MILOLD,23/02/2025,2004.1
NBS,23/02/2025,912.5
PAR,23/02/2025,2579.17
ROM,23/02/2025,733.61
SRV,23/02/2025,4231.95
BHR,24/02/2025,6815
BIR,24/02/2025,1084.16
ECI,24/02/2025,1442.14
FLO,24/02/2025,1483.6
GLA,24/02/2025,829.17
LBM,24/02/2025,791.67
LRM,24/02/2025,569.67
MAD,24/02/2025,822.31
MILOLD,24/02/2025,4053.88
NBS,24/02/2025,2869.99
NYC,24/02/2025,2170
PAR,24/02/2025,2121.45
ROM,24/02/2025,4999.99
SRV,24/02/2025,1672.13
BHR,25/02/2025,5330
BIR,25/02/2025,1732.5
ECI,25/02/2025,5714.86
FLO,25/02/2025,815.57
GLA,25/02/2025,2662.5
LBM,25/02/2025,1729.17
LRM,25/02/2025,1901.64
MAD,25/02/2025,739.67
MILOLD,25/02/2025,2147.54
NBS,25/02/2025,3558.33
NYC,25/02/2025,6240
PAR,25/02/2025,2342.29
SRV,25/02/2025,6098.33
BIR,26/02/2025,1550.83
ECI,26/02/2025,3004.13
GLA,26/02/2025,1725
LBM,26/02/2025,5883.74
MAD,26/02/2025,822.31
MILOLD,26/02/2025,7184.41
NBS,26/02/2025,3698.75
NYC,26/02/2025,9480
PAR,26/02/2025,4449.99
ROM,26/02/2025,1774.59
SRV,26/02/2025,2638.51
BHR,27/02/2025,8905
BIR,27/02/2025,1577.5
ECI,27/02/2025,739.67
FLO,27/02/2025,1209.01
GLA,27/02/2025,3050
LBM,27/02/2025,2662.5
LRM,27/02/2025,1348.36
MAD,27/02/2025,2863.63
MILOLD,27/02/2025,5139.33
NBS,27/02/2025,4466.67
NYC,27/02/2025,5685
PAR,27/02/2025,4404.17
ROM,27/02/2025,1819.68
SRV,27/02/2025,3049.15
BHR,28/02/2025,9780.75
BIR,28/02/2025,927.5
ECI,28/02/2025,599.17
FLO,28/02/2025,778.69
GLA,28/02/2025,2079.16
LBM,28/02/2025,3733.33
LRM,28/02/2025,3692.61
MAD,28/02/2025,3123.96
MILOLD,28/02/2025,2307.37
NBS,28/02/2025,5658.33
NYC,28/02/2025,5102.5
PAR,28/02/2025,2449.99
ROM,28/02/2025,553.28
SRV,28/02/2025,1905.73
BHR,01/03/2025,3290
BIR,01/03/2025,1535.42
ECI,01/03/2025,6123.95
FLO,01/03/2025,2754.1
GLA,01/03/2025,3537.5
LBM,01/03/2025,5033.34
LRM,01/03/2025,569.67
MAD,01/03/2025,1805.79
MILOLD,01/03/2025,3311.47
NBS,01/03/2025,5260.41
NYC,01/03/2025,6005
PAR,01/03/2025,8210.84
ROM,01/03/2025,6389.33
SRV,01/03/2025,3886.46
BHR,02/03/2025,5440
BIR,02/03/2025,1431.67
ECI,02/03/2025,5466.93
FLO,02/03/2025,1955.74
GLA,02/03/2025,2033.34
LBM,02/03/2025,3292.5
LRM,02/03/2025,3946.72
MAD,02/03/2025,287.19
MILOLD,02/03/2025,2979.5
NBS,02/03/2025,1987.5
PAR,02/03/2025,4794.38
ROM,02/03/2025,2655.74
SRV,02/03/2025,2871.3
BHR,03/03/2025,6575
BIR,03/03/2025,1613.33
ECI,03/03/2025,2020.65
FLO,03/03/2025,1884.83
GLA,03/03/2025,562.5
LBM,03/03/2025,1825
MAD,03/03/2025,822.31
MILOLD,03/03/2025,1762.29
NBS,03/03/2025,5391.25
NYC,03/03/2025,3095
PAR,03/03/2025,4949.92
ROM,03/03/2025,0
SRV,03/03/2025,3098.34
BHR,04/03/2025,12975
BIR,04/03/2025,2217.08
ECI,04/03/2025,2285.12
GLA,04/03/2025,2345.84
LBM,04/03/2025,1750
LRM,04/03/2025,815.57
MILOLD,04/03/2025,3155.74
NBS,04/03/2025,2949.18
NYC,04/03/2025,2360
PAR,04/03/2025,9513.32
ROM,04/03/2025,1368.85
SRV,04/03/2025,2877.03
BHR,05/03/2025,4965
BIR,05/03/2025,1321.67
ECI,05/03/2025,1152.89
FLO,05/03/2025,1397.54
GLA,05/03/2025,2695.84
LBM,05/03/2025,2458.34
MILOLD,05/03/2025,7584.84
NBS,05/03/2025,4197.91
NYC,05/03/2025,6320
PAR,05/03/2025,3545.84
ROM,05/03/2025,1819.67
SRV,05/03/2025,540.98
BHR,06/03/2025,7735
BIR,06/03/2025,275
ECI,06/03/2025,3772.72
FLO,06/03/2025,1295.08
GLA,06/03/2025,6666.68
LBM,06/03/2025,5112.5
LRM,06/03/2025,1643.44
MILOLD,06/03/2025,1368.85
NBS,06/03/2025,1672.49
NYC,06/03/2025,2326
PAR,06/03/2025,3962.49
ROM,06/03/2025,2918.03
SRV,06/03/2025,2680.31
BHR,07/03/2025,15570
BIR,07/03/2025,1047.5
ECI,07/03/2025,1442.15
FLO,07/03/2025,487.7
LBM,07/03/2025,2866.68
LRM,07/03/2025,2938.52
MAD,07/03/2025,491.74
MILOLD,07/03/2025,2618.85
NBS,07/03/2025,2825
NYC,07/03/2025,4331.5
PAR,07/03/2025,6895.83
ROM,07/03/2025,3458.2
SRV,07/03/2025,3940.58
BHR,08/03/2025,8895
BIR,08/03/2025,1977.5
ECI,08/03/2025,632.24
FLO,08/03/2025,3284.84
GLA,08/03/2025,958.33
LBM,08/03/2025,1204.17
LRM,08/03/2025,4061.48
MAD,08/03/2025,2880.16
MILOLD,08/03/2025,5487.71
NBS,08/03/2025,6225
NYC,08/03/2025,6525
PAR,08/03/2025,7241.68
ROM,08/03/2025,3693.24
SRV,08/03/2025,4272.52
BHR,09/03/2025,5065.5
BIR,09/03/2025,1942.49
ECI,09/03/2025,1673.55
FLO,09/03/2025,241.8
GLA,09/03/2025,2216.67
LBM,09/03/2025,4937.5
LRM,09/03/2025,2327.86
MAD,09/03/2025,2948.15
MILOLD,09/03/2025,553.28
NBS,09/03/2025,2833.33
PAR,09/03/2025,7241.67
ROM,09/03/2025,553.28
SRV,09/03/2025,3811.45
BHR,10/03/2025,13645
BIR,10/03/2025,3229.99
ECI,10/03/2025,3413.23
FLO,10/03/2025,553.28
GLA,10/03/2025,2054.17
LBM,10/03/2025,5533.74
LRM,10/03/2025,1696.72
MILOLD,10/03/2025,3551.84
NBS,10/03/2025,2552.7
NYC,10/03/2025,11335
PAR,10/03/2025,3827.91
ROM,10/03/2025,2331.98
SRV,10/03/2025,1838.11
BHR,11/03/2025,11885
BIR,11/03/2025,2518.34
ECI,11/03/2025,3082.63
FLO,11/03/2025,1733.61
GLA,11/03/2025,2320.84
LBM,11/03/2025,1120.84
LRM,11/03/2025,614.75
MAD,11/03/2025,384.71
MILOLD,11/03/2025,1081.96
NBS,11/03/2025,3370.83
NYC,11/03/2025,5876.5
PAR,11/03/2025,3483.33
ROM,11/03/2025,3377.87
SRV,11/03/2025,1332.79
BHR,12/03/2025,8100
BIR,12/03/2025,1615
ECI,12/03/2025,557.85
FLO,12/03/2025,923.16
GLA,12/03/2025,1391.67
